Thread Count,Latency_8_100_128,Latency_8_100_32,Latency_8_100_64
1,518089,294460,257080
4,221070,244549,281820
8,126090,299919,284240
12,530129,472269,4136022
16,773858,563829,118040
20,167269,173990,289660
24,828548,189560,209640
28,294499,607869,211359
32,214240,232240,227039
