Thread Count,Latency_8_100_1024,Latency_8_100_10240,Latency_8_100_102400,Latency_8_100_128
1,8105960,79068779,942263264,1794131
4,5497753,44259061,537701427,1752901
8,5985630,55049257,1215904558,2076750
12,7120555,92395653,1468947835,2402468
16,8601127,91197558,1923160787,2677457
20,7960470,97477497,2101145846,2900816
24,8738236,99659326,2311375665,3718471
28,8100640,95192709,3275876420,3205934
32,8120709,104029185,3685236545,3841521
