Thread Count,Latency_8_100_128,Latency_8_100_32,Latency_8_100_64
1,888930,791499,817689
4,1100779,1068159,1049530
8,1913579,1426489,1728608
12,1835609,1903599,2031769
16,2447798,2210039,2870349
20,2594848,2920557,2410899
24,2688459,2859327,2325368
28,2727459,3345317,3304268
32,3857016,3404088,3301368
