Thread Count,Latency_8_100_128,Latency_8_100_32,Latency_8_100_64
1,2278148,1066674,1497022
4,1984110,1255873,1693432
8,2179109,1498103,2173279
12,2540357,1584832,2279289
16,2735676,2250009,2373558
20,2862235,2141089,14564925
24,3014715,2293838,2794086
28,3161014,2344398,2585637
32,3300033,2504707,3178373
