Thread Count,boc True Throughput,mutex True Throughput,libcuckoo True Throughput
1,1700690.268161,3531859.171875,1789803.933394
4,1983742.667041,8343855.975985,5758920.173673
8,1844436.454128,6517105.460704,12027933.842699
12,1926326.049932,3869774.177967,19822178.412111
16,1751272.274937,3364106.619091,27691579.623432
20,1898751.174108,3568380.550669,35189066.317232
24,1831073.528422,3878920.599582,44405768.63892
28,1866385.760543,3509422.527025,52346963.855648
32,1815248.979195,3177909.921107,38054270.294874
