Thread Count,Latency_8_100_128,Latency_8_100_32,Latency_8_100_64
1,881170,799070,805219
4,1218450,975050,1089850
8,1620120,1923770,1250710
12,2017420,2278710,2043940
16,2608260,2496400,2241980
20,2555611,2446810,2543320
24,2758300,2915790,2977730
28,3514941,3263100,2798670
32,3447531,3305950,3062350
