Thread Count,Latency_8_100_128,Latency_8_100_32,Latency_8_100_64
1,4154619,4663787,3954441
4,2861236,3201854,3264674
8,3287314,3622672,3145754
12,3486273,3430973,3556693
16,4008350,4108870,4054950
20,4154939,4741647,4316989
24,4405339,5061685,4907676
28,5349484,5243484,4799426
32,6233570,6278800,6383489
