Thread Count,Latency_8_100_128,Latency_8_100_32,Latency_8_100_64
1,783546,655397,713717
4,1053745,1013405,1329424
8,1524842,1180384,1404053
12,1720601,1374693,1552123
16,1823451,1655502,1766962
20,1786462,1910651,1734442
24,2123149,2222139,2019890
28,2397009,2226050,2166430
32,2291588,2400108,2404039
