Thread Count,Latency_8_100_128,Latency_8_100_32,Latency_8_100_64
1,1326287,1041438,1264167
4,1538546,1203507,1283197
8,2229145,1843656,1711856
12,2781114,2281515,2318374
16,2432334,2619235,2249325
20,3119873,3084484,3125333
24,3006814,3065623,3124753
28,3791352,3125583,3776582
32,3991281,3572472,3420142
