Thread Count,true Latency,false Latency
1,830267358,870749964
4,291096915,171345042
8,2503166449,206601736
12,174894383,231797153
16,906743768,301719532
20,284642342,366394525
24,287027631,486641176
28,13047135401,533293262
32,482805798,589461908
