Thread Count,true Throughput,false Throughput
1,1238555.772683,N/A
4,1757135.245921,N/A
8,1850230.093652,N/A
12,1863796.302470,N/A
16,1878916.493275,N/A
20,1914931.295861,N/A
24,1724125.412695,N/A
28,1893167.626229,N/A
32,1873979.444030,N/A
