Thread Count,Latency_8_100_128,Latency_8_100_32,Latency_8_100_64
1,713337,703377,719327
4,906676,1202015,909036
8,1429714,1669073,1084795
12,1466973,1307855,1485803
16,1829872,1974751,1499343
20,1832452,1949381,1908431
24,2028511,2018061,1916162
28,1993942,2265770,2248450
32,2170650,2594139,2165801
