Thread Count,Latency_8_100_128,Latency_8_100_32,Latency_8_100_64
1,8277493,8690961,8640041
4,3885382,3940922,8449172
8,9425558,8102053,4227970
12,4548849,5109087,8548102
16,8908470,8492392,5462615
20,5782434,11038100,9528327
24,11347299,9500787,6787480
28,7672875,7980364,10858041
32,10251313,12207055,12917751
