Thread Count,true Throughput,false Throughput
1,7290594,7974760
4,7322014,11559183
8,6940346,15821902
12,7580832,21875752
16,7356724,27199546
20,7657982,33760143
24,7712562,39466645
28,7883821,46464410
32,8603807,53934484
