Thread Count,true Throughput,false Throughput
1,873360.666658,N/A
4,1129102.774175,N/A
8,1186668.054024,N/A
12,1195876.937294,N/A
16,1189637.916367,N/A
20,1180532.907524,N/A
24,1187360.859489,N/A
28,1173474.115179,N/A
32,1177368.278913,N/A
