Thread Count,Latency_8_100_128,Latency_8_100_32,Latency_8_100_64
1,8624390,8013033,8245392
4,8136603,7963113,7599275
8,7982363,8376401,9063538
12,8412921,8344931,8636760
16,8654580,8949869,9488726
20,9478396,9249248,8977449
24,9249837,9908494,10803940
28,10026673,10408732,10150693
32,10956309,11456966,11271978
