Thread Count,Latency_8_100_1024,Latency_8_100_10240,Latency_8_100_102400,Latency_8_100_128
1,1578642,7998000,68462570,786726
4,1392133,6472368,55896742,1001335
8,1807411,6307589,54238100,1312803
12,1801751,6897706,61891522,1753291
16,1989391,6744277,132762470,1828601
20,2294068,7235154,148053984,1718352
24,2420667,6520958,72328860,1967230
28,2759496,6689437,105017689,2316088
32,2982565,7271304,54461980,2559727
