Thread Count,Latency_8_100_128,Latency_8_100_32,Latency_8_100_64
1,781466,639027,784466
4,1183884,822326,873675
8,1162544,1053845,1088914
12,1393993,1625371,1303354
16,1805861,1424043,1490053
20,1723831,1916540,8006059
24,2208298,1798870,2061220
28,2153909,2019750,2041839
32,2105649,2140769,2388888
