Thread Count,boc True Throughput,mutex True Throughput,libcuckoo True Throughput
1,212574.518784,1857942.766563,295759.938387
4,272172.037687,3676902.227683,1093325.072978
8,265598.691079,3145026.538112,1989723.586764
12,280842.756619,1270916.595462,2992955.940821
16,263622.188137,1100189.293477,3868891.152635
20,283162.815797,1120174.482228,4531495.074533
24,266898.805447,1311590.891315,5315769.835991
28,280941.454667,1267225.698086,6430091.825039
32,262271.988462,1095447.960887,6839787.61364
