Thread Count,boc True Throughput,mutex True Throughput,libcuckoo True Throughput
1,31382.71678,232956.360901,44448.464584
4,34194.73589,90489.212424,181311.634327
8,34454.668275,91043.916523,339796.491455
12,34164.67479,80686.610217,491034.05667
16,34711.412301,107925.706565,635476.439211
20,34393.321074,106918.453432,791725.607636
24,34337.960945,148144.588391,947579.496041
28,34006.112772,154863.391413,1089827.604588
32,34686.634711,151593.037552,1285922.063308
