Thread Count,Latency_8_100_128,Latency_8_100_32,Latency_8_100_64
1,1578022,1042764,1338683
4,1505412,1356963,1428643
8,1853470,1705512,1780231
12,1984330,1941450,1884851
16,2371178,2227738,2561427
20,2801266,2275328,2214839
24,2785355,2746946,2768296
28,2826636,3382762,2743056
32,2768806,3124954,3046344
