Thread Count,true Latency,false Latency
1,7819225,7607966
4,18365827,1827402
8,19437052,1747292
12,18462267,1134905
16,17734491,712417
20,18711236,719096
24,19498502,682787
28,18781796,562728
32,18545877,380378
