Thread Count,Latency_8_100_1024,Latency_8_100_10240,Latency_8_100_102400,Latency_8_100_1024000,Latency_8_100_128
1,13537743,31598854,108995200,837565230,11387453
4,21492274,28252650,97507937,776565722,20544458
8,21475494,28135541,91070038,710305901,20657127
12,22855397,27410945,85663115,686054150,21415434
16,21980661,26988566,86424351,687660633,22057061
20,22770347,29024716,90918800,722644680,21657412
24,23563673,29221965,91645866,699216556,22675498
28,23754472,30545499,90870629,710809958,22073600
32,22892327,28412369,92256283,705460495,22734058
