Thread Count,true Throughput,false Throughput
1,873927.722405,N/A
6,1587724.501992,N/A
12,1625577.180400,N/A
18,1623267.531629,N/A
24,1625011.863133,N/A
30,1649181.713105,N/A
36,2032812.622711,N/A
