Thread Count,Latency_8_100_128,Latency_8_100_32,Latency_8_100_64
1,821327,783397,778867
4,1129526,976037,993327
8,1564485,1537225,1519616
12,2103963,2049063,1970934
16,2088843,2326582,2183653
20,2754411,2332702,2579582
24,2577002,2534052,2624021
28,2825681,2894811,3412729
32,3600128,3270249,3230690
