Thread Count,Latency_8_100_1024,Latency_8_100_10240,Latency_8_100_4096,Latency_8_100_8192
1,8113929,75839526,29975353,59283268
4,5174655,42841899,34097442,37856243
8,6208019,56342842,55427916,51526536
12,7432974,88863981,79547058,81836926
16,7980730,94520503,86111405,81287079
20,8658867,96863953,91127461,83579407
24,8792607,101324840,125470790,96180565
28,8840856,106150426,136346707,85686367
32,9396744,99030212,151146864,95150140
